"","answer.keys","n","size","trials_3.thisRepN","participant"
"925","left",1,3,1,"ADV"
"926","down",3,3,1,"ADV"
"927","down",4,3,1,"ADV"
"928","left",2,5,1,"ADV"
"929","down",2,2,1,"ADV"
"930","down",3,1,1,"ADV"
"931","down",3,4,1,"AN"
"932","left",4,3,1,"AN"
"933","right",2,1,1,"AN"
"934","left",5,5,1,"AN"
"935","down",2,5,1,"AN"
"936","down",2,4,1,"AN"
"937","down",1,3,1,"AN"
"938","down",3,2,1,"AN"
"939","left",1,5,1,"AN"
"940","down",3,1,1,"AN"
"941","down",4,1,1,"AN"
"942","down",6,4,1,"AN"
"943","down",5,2,1,"AN"
"944","left",5,4,1,"AN"
"945","down",4,4,1,"AN"
"946","left",5,3,1,"AN"
"947","down",6,3,1,"AN"
"948","down",1,1,1,"AN"
"949","down",4,5,1,"AN"
"950","left",2,3,1,"AN"
"951","down",6,2,1,"AN"
"952","down",3,5,1,"AN"
"953","down",4,2,1,"AN"
"954","down",6,5,1,"AN"
"955","left",6,1,1,"AN"
"956","down",3,3,1,"AN"
"957","down",1,2,1,"AN"
"958","down",5,1,1,"AN"
"959","left",2,2,1,"AN"
"960","down",1,4,1,"AN"
"961","down",5,2,1,"AES"
"962","down",1,5,1,"AES"
"963","right",1,2,1,"AES"
"964","down",6,4,1,"AES"
"965","down",5,3,1,"AES"
"966","down",3,4,1,"AES"
"967","right",1,1,1,"AES"
"968","left",6,5,1,"AES"
"969","left",2,2,1,"AES"
"970","left",6,1,1,"AES"
"971","left",2,1,1,"AES"
"972","down",6,2,1,"AES"
"973","left",5,4,1,"AES"
"974","left",4,2,1,"AES"
